LAT,LON
39.8914,-94.36
38.1872,-94.0283
40.2575,-94.0269
37.0539,-93.5756
37.6164,-93.3914
39.3444,-91.1711
39.765,-93.0594
39.4247,-93.1331
37.6669,-93.1069
38.2611,-94.405
38.6278,-92.5545
40.1433,-91.5158
39.3594,-93.4886
36.6875,-93.8694
39.775,-93.5358
37.1319,-90.7756
38.395,-93.7711
40.2394,-94.6833
38.3486,-92.5811
37.8642,-94.0156
39.1561,-90.7833
37.7922,-90.4103
37.5742,-90.3075
38.4583,-91.7028
36.8061,-93.4678
39.7425,-94.0347
39.7233,-91.3719
37.3186,-91.9628
37.3781,-89.6678
38.5853,-92.1825
40.2058,-92.5747
38.2042,-92.6233
37.5983,-94.2842
37.685,-92.6936
37.5544,-91.8831
37.3908,-93.9492
36.5994,-89.9894
37.1086,-92.5789
37.3378,-92.9097
40.3458,-94.8342
39.4194,-92.4369
36.8617,-93.9625
39.635,-91.7231
37.1542,-92.2617
36.865,-94.3603
37.8394,-94.3739
39.0172,-92.7558
38.0492,-93.7039
36.6744,-93.1075
37.7342,-89.92
37.905,-93.3167
36.7578,-90.4056
37.8958,-90.8411
40.3986,-93.5839
37.9567,-91.7761
38.4506,-91.3756
38.8147,-90.5169
38.6856,-90.5231
38.6292,-90.2706
37.6331,-91.5364
39.4247,-92.8106
39.6361,-91.2494
38.6753,-93.2228
36.8775,-89.6231
40.2472,-93.7158
39.9714,-91.8872
37.6967,-93.7725
37.14,-91.6269
38.9664,-93.4194
38.2597,-93.4136
40.475,-93.0031
39.3075,-91.4925
38.4325,-92.8397
36.9231,-90.2836
38.7842,-93.8008
38.835,-91.1386
36.8581,-92.5875
37.8131,-92.2317
38.6989,-90.6828
37.2253,-89.5706
38.8169,-92.2183
39.2972,-94.7306
38.6572,-90.6558
37.1467,-94.5022
39.1208,-94.5969
39.1342,-93.2225
38.7525,-90.3736
37.2353,-93.4003